CrackSize,FEM_Approx,Amplitude (dB),Duration (ms),Rise Time (ms),Counts,Energy (a.u.),Peak Frequency (kHz),RMS Voltage (V),Signal Attenuation (dB/m),PressureDrop,FlowRate,SpectralEntropy,GrowthRate,Cracked
0.0004955841905208733,0.6204959749129099,38250.0,1.0,0.1,5.0,73153125.0,50.0,3825.0,1.0,0.0,0.0,0.9182958340544888,0.0,0.0
0.0004628814147341628,0.618663959930164,45350.0,1.0,0.1,5.0,102831125.0,50.0,4535.0,1.0,0.0,0.0,0.9182958340544889,0.0,0.0
0.0005597661001277996,0.6240914562502734,38200.0,1.0,0.1,5.0,72962000.0,50.0,3820.0,1.0,0.0,0.0,0.9182958340544888,0.0,0.0
0.0006513559210992294,0.6292223333776767,38700.0,1.0,0.1,5.0,74884500.0,50.0,3870.0,1.0,0.0,0.0,0.9182958340544888,0.0,0.0
0.006507269144768266,0.8137478443987117,193200.0,5.0,0.5,50.0,93315600000.0,56.507269144768266,19320.0,0.5408877606433337,10000.000000000002,0.0001804286323293007,2.2804290795588997,4.444575922891124e-06,1.0
0.0004745563272314337,0.6193179904857579,38900.0,1.0,0.1,5.0,75660500.0,50.0,3890.0,1.0,0.0,0.0,0.9182958340544888,0.0,0.0
0.00046162292173295924,0.6185934589412291,37550.0,1.0,0.1,5.0,70500125.0,50.0,3755.0,1.0,0.0,0.0,0.9182958340544889,0.0,0.0
0.0005257852382918244,0.6221878426727553,38550.0,1.0,0.1,5.0,74305125.0,50.0,3855.0,1.0,0.0,0.0,0.9182958340544888,0.0,0.0
0.00047464182862984197,0.6193227802884328,39300.0,1.0,0.1,5.0,77224500.0,50.0,3930.0,1.0,0.0,0.0,0.9182958340544888,0.0,0.0
0.005443072376342764,0.8543156331013284,170400.0,5.0,0.5,50.0,72590400000.0,55.44307237634276,17040.0,0.1,10000.000000000002,0.00015092139001542638,1.8418298194548495,3.4097099456259494e-06,1.0
0.00042190247071557127,0.6163683126154288,38800.0,1.0,0.1,5.0,75272000.0,50.0,3880.0,1.0,0.0,0.0,0.9182958340544889,0.0,0.0
0.005254574959612321,0.8494207966366703,107500.0,5.0,0.5,50.0,28890625000.0,55.25457495961232,10750.0,0.1,10000.000000000002,0.00014569487635176088,1.0470969947121374,3.284870964446497e-06,1.0
