Time (hours),CrackSize,FEM_Approx,Amplitude (dB),Duration (ms),Rise Time (ms),Counts,Energy (a.u.),Peak Frequency (kHz),RMS Voltage (V),Signal Attenuation (dB/m),PressureDrop,FlowRate,SpectralEntropy,GrowthRate
0.0,0.003690127447955128,0.7994548238136346,1205.4154608304777,3.690127447955128,0.3690127447955128,50.0,2680926.3618947174,53.69012744795513,120.54154608304778,0.1,10000.000000000002,0.000102317060158892,6.274978916445158,0.0
2.004008016032064,0.005204009004300337,0.8481077171991662,1390.1888604855503,5.0,0.5,50.0,4831562.669545283,55.20400900430034,139.01888604855503,0.5198614910855934,10000.000000000002,0.00014429282182529325,6.353613177889391,3.3371907879418267e-06
4.008016032064128,0.005556841945295061,0.857269962366607,2022.9603331318913,5.0,0.5,50.0,10230921.273562731,55.55684194529506,202.29603331318913,0.1,10000.000000000002,0.0001540759064907839,6.463745919690205,2.926873383475234e-06
6.012024048096192,0.004894386973913184,0.8400675581832584,1128.4124554845746,4.894386973913184,0.4894386973913184,50.0,3116047.3665183256,54.894386973913186,112.84124554845747,0.1,10000.000000000002,0.0001357078565750562,5.92456846509193,2.8972374219405836e-06
8.016032064128256,0.004797133567628794,0.8375421149827618,1627.0320613874546,4.797133567628794,0.4797133567628794,50.0,6349565.931424625,54.79713356762879,162.70320613874546,0.1,10000.000000000002,0.00013301128775411447,6.426166740939919,2.5042044861653748e-06
10.020040080160319,0.005345526099876173,0.8517825847480818,1217.4756718387955,5.0,0.5,50.0,3705617.5287983166,55.345526099876174,121.74756718387955,0.1,10000.000000000002,0.00014821670071179846,6.592206554249238,2.7355009487809584e-06
12.024048096192384,0.004944856390135001,0.8413781307266787,1405.5196179304944,4.9448563901350004,0.49448563901350007,50.0,4884245.79297251,54.944856390135,140.55196179304943,0.5103857927249984,10000.000000000002,0.00013710723433871944,6.307199783554287,2.8946640806401178e-06
14.028056112224448,0.0056779737089070565,0.8604154705854505,1141.5025499344101,5.0,0.5,50.0,3257570.1787669016,55.677973708907054,114.15025499344101,0.1,10000.000000000002,0.0001574345563259025,6.283496263898867,3.1310327442100883e-06
16.03206412825651,0.004842019831381618,0.8387077061319169,1010.6881775554241,4.842019831381618,0.4842019831381618,50.0,2473038.8526228643,54.84201983138162,101.06881775554241,0.1,10000.000000000002,0.00013425586009300496,6.184464134489398,3.374149804748032e-06
18.036072144288575,0.005022765322529298,0.8434012432436611,1043.6019843468243,5.0,0.5,50.0,2722762.7543315734,55.022765322529295,104.36019843468243,0.1,10000.000000000002,0.00013926743423293167,5.992161652632575,3.543988138722705e-06
20.040080160320638,0.004655211111077794,0.8338567211586483,1226.889048518021,4.655211111077794,0.4655211111077794,50.0,3503643.9444228075,54.65521111107779,122.68890485180209,0.432437341806092,10000.000000000002,0.00012907616932538016,6.412119704043387,3.560520622606332e-06
22.0440881763527,0.005247575897306803,0.8492390473799127,1272.0572715086842,5.0,0.5,50.0,4045324.2549952953,55.2475758973068,127.20572715086841,0.4765545360601285,10000.000000000002,0.0001455008116509966,6.082485967819836,3.355189866471528e-06
24.04809619238477,0.004924308318582929,0.8408445454306248,1062.11365668481,4.924308318582929,0.4924308318582929,50.0,2777520.2081907378,54.92430831858293,106.211365668481,0.1,10000.000000000002,0.00013653749296723712,6.273448171334458,3.3788681592259937e-06
26.052104208416832,0.005452823368025899,0.8545688435191956,1864.744132508913,5.0,0.5,50.0,8693176.699316047,55.452823368025896,186.4744132508913,0.1,10000.000000000002,0.00015119175813054528,6.468748299162258,3.5055328423830648e-06
28.056112224448896,0.005318427075561942,0.8510788865506701,1074.3501110016898,5.0,0.5,50.0,2885570.402523358,55.31842707556194,107.43501110016898,0.1,10000.000000000002,0.0001474653194817157,6.173867335598246,3.518857056819709e-06
30.06012024048096,0.005472073909270656,0.8550687349918941,1152.6982870073484,5.0,0.5,50.0,3321783.3521741885,55.472073909270655,115.26982870073485,0.1,10000.000000000002,0.00015172552256399933,6.288465749376922,3.445722248883454e-06
32.06412825651302,0.005286390658997631,0.850246975839553,1407.5349805606036,5.0,0.5,50.0,4952886.803754346,55.28639065899763,140.75349805606035,0.1,10000.000000000002,0.00014657703797731878,6.358025836941641,3.313009864918358e-06
34.06813627254509,0.004638723999149223,0.833428589473532,1250.9840947228117,4.6387239991492235,0.46387239991492235,50.0,3629711.550264065,54.63872399914922,125.09840947228118,0.1,10000.000000000002,0.00012861902716787102,6.5063719257201456,3.1476013512736836e-06
