Joint 1,Joint 2,Joint 3,Joint 4,Time
-0.0005510755169955813,5.839650823831959e-05,0.09933055217408773,0.0003460436928047351,0.0
-0.00011215638431845995,0.0003697037269193655,0.09938574746223201,0.0005987972827891285,0.020202020202020204
0.0010422263129224439,0.0012798152146505507,0.09945092621924646,0.0013919576962846375,0.04040404040404041
0.002897330937001128,0.0027763924021185107,0.09952587876906137,0.002714383176883774,0.06060606060606061
0.0054384158501915875,0.004847096720009882,0.09961039543560699,0.00455493196817905,0.08080808080808081
0.008650739414767824,0.007479589599011299,0.09970426654281361,0.006902462313762977,0.10101010101010102
0.01251955999300383,0.010661532469809398,0.09980728241461152,0.009745832457228067,0.12121212121212122
0.01703013594717361,0.014380586763090814,0.099919233374931,0.013073900642166833,0.14141414141414144
0.022167725639551147,0.01862441390954218,0.10003990974770231,0.016875525112171788,0.16161616161616163
0.027917587432410455,0.023380675339850138,0.10016910185685574,0.021139564110835438,0.18181818181818182
0.03426497968802551,0.028637032484701324,0.10030660002632157,0.025854875881750297,0.20202020202020204
0.04119516076867034,0.034381146774782365,0.10045219458003007,0.031010318668508882,0.22222222222222224
0.04869338903661891,0.04060067964077991,0.10060567584191155,0.03659475071470371,0.24242424242424243
0.05674492285414525,0.04728329251338058,0.10076683413589624,0.04259703026392727,0.26262626262626265
0.0653350205835233,0.05441664682327101,0.10093545978591445,0.0490060155597721,0.2828282828282829
0.07444894058702714,0.061988404001137865,0.10111134311589645,0.055810564845830676,0.30303030303030304
0.08407194122693071,0.06998622547766774,0.10129427444977253,0.06299953636569555,0.32323232323232326
0.09418928086550803,0.07839777268354728,0.10148404411147297,0.07056178836295922,0.3434343434343435
0.10478621786503306,0.08721070704946315,0.10168044242492802,0.07848617908121419,0.36363636363636365
0.11584801058777985,0.09641269000610198,0.10188325971406799,0.086761566764053,0.38383838383838387
0.12735991739602237,0.10599138298415035,0.10209228630282313,0.09537680965506812,0.4040404040404041
0.13930719665203464,0.11593444741429496,0.10230731251512376,0.10432076599785207,0.42424242424242425
0.1516751067180906,0.12622954472722245,0.10252812867490012,0.11358229403599739,0.4444444444444445
0.1644489059564643,0.1368643363536194,0.1027545251060825,0.12315025201309657,0.4646464646464647
0.1776138527294297,0.14782648372417248,0.1029862921326012,0.13301349817274213,0.48484848484848486
0.19115520539926084,0.1591036482695683,0.10322322007838647,0.1431608907585266,0.5050505050505051
0.20505822232823168,0.17068349142049352,0.1034650992673686,0.15358128801404242,0.5252525252525253
0.21930816187861626,0.18255367460763477,0.10371172002347788,0.1642635481828822,0.5454545454545455
